#{"t_start": 1550439623.9956381, "env_id": null}
r,l,t
-1.0,100,5.439087
-1.0,100,7.849926
-1.0,100,9.23061
1.0,67,9.523067
-1.0,100,10.947942
-1.0,100,12.343004
-1.0,100,13.673838
1.0,92,14.035727
-1.0,100,15.519257
-1.0,100,16.932228
-1.0,100,18.358088
-1.0,100,19.852395
-1.0,100,20.263805
-1.0,100,21.698178
1.0,40,21.865983
1.0,75,23.193727
-1.0,100,24.661869
-1.0,100,26.094693
-1.0,100,26.476939
-1.0,100,27.899327
-1.0,100,29.364401
-1.0,100,30.838068
-1.0,100,31.254741
-1.0,100,32.647132
-1.0,100,34.054289
1.0,20,34.140315
-1.0,100,35.713073
-1.0,100,37.072891
-1.0,100,38.578762
1.0,75,38.886656
-1.0,100,40.331367
-1.0,100,41.727465
-1.0,100,42.122979
-1.0,100,43.616388
-1.0,100,44.971217
1.0,55,45.204047
1.0,11,46.316384
-1.0,100,46.72956
-1.0,100,48.198128
-1.0,100,49.663836
1.0,16,49.735221
1.0,93,51.139864
-1.0,100,52.529126
1.0,68,52.815178
-1.0,100,54.418866
-1.0,100,55.889927
-1.0,100,56.289115
1.0,56,57.53868
-1.0,100,58.959276
-1.0,100,59.36957
-1.0,100,60.761213
-1.0,100,62.24822
-1.0,100,63.742489
-1.0,100,65.238018
-1.0,100,65.684801
1.0,31,66.803859
-1.0,100,67.228984
-1.0,100,68.660722
-1.0,100,70.044105
-1.0,100,71.486479
-1.0,100,71.937643
-1.0,100,73.436249
1.0,36,74.58098
1.0,21,74.678453
-1.0,100,75.12458
-1.0,100,76.575228
1.0,45,77.802697
1.0,63,78.035592
1.0,9,78.075644
-1.0,100,79.525347
1.0,52,79.756979
-1.0,100,81.23707
-1.0,100,82.602109
-1.0,100,84.002501
1.0,12,84.053955
-1.0,100,85.473315
-1.0,100,85.888409
-1.0,100,87.291197
-1.0,100,88.849359
-1.0,100,90.275477
-1.0,100,90.693331
-1.0,100,92.251065
-1.0,100,93.754647
-1.0,100,95.119702
-1.0,100,96.609278
-1.0,100,97.053931
-1.0,100,98.517611
-1.0,100,99.971739
-1.0,100,101.37818
-1.0,100,102.895495
-1.0,100,103.298825
-1.0,100,104.767827
1.0,15,104.828902
-1.0,100,106.231062
1.0,80,107.615201
-1.0,100,108.037328
1.0,49,109.29756
-1.0,100,110.683903
-1.0,100,111.115464
-1.0,100,112.650222
1.0,35,112.845036
-1.0,100,114.435912
1.0,67,115.708613
1.0,66,115.976156
-1.0,100,117.437243
-1.0,100,118.922609
-1.0,100,120.368923
1.0,67,120.630612
-1.0,100,122.016563
-1.0,100,123.428453
-1.0,100,123.882039
-1.0,100,125.270235
-1.0,100,126.635848
-1.0,100,128.036041
-1.0,100,129.55723
1.0,55,129.761263
-1.0,100,131.1895
-1.0,100,132.576103
-1.0,100,132.941114
-1.0,100,134.265799
-1.0,100,135.647654
-1.0,100,137.044297
-1.0,100,137.440885
-1.0,100,138.925278
-1.0,100,140.526789
-1.0,100,142.014896
-1.0,100,143.410277
-1.0,100,143.814458
-1.0,100,145.272382
-1.0,100,146.786068
-1.0,100,148.164155
-1.0,100,148.564231
-1.0,100,149.920497
1.0,37,151.083511
-1.0,100,151.496574
-1.0,100,152.949794
-1.0,100,154.39908
-1.0,100,155.918823
-1.0,100,156.348282
1.0,87,157.720466
1.0,41,157.907385
-1.0,100,159.330544
-1.0,100,160.763634
-1.0,100,162.172114
-1.0,100,163.561018
-1.0,100,163.937018
-1.0,100,165.263597
-1.0,100,166.641963
-1.0,100,168.065094
-1.0,100,168.474627
-1.0,100,169.823758
1.0,70,171.130843
-1.0,100,172.468916
-1.0,100,172.893797
1.0,36,174.007622
-1.0,100,174.436696
-1.0,100,175.951902
-1.0,100,177.329264
-1.0,100,178.727254
-1.0,100,180.228595
-1.0,100,180.642352
-1.0,100,181.975573
-1.0,100,183.436705
-1.0,100,184.792198
-1.0,100,185.187611
-1.0,100,186.715434
-1.0,100,188.121918
1.0,98,189.529574
-1.0,100,190.976441
-1.0,100,191.37916
-1.0,100,192.694993
-1.0,100,194.15994
-1.0,100,195.541496
-1.0,100,195.942535
-1.0,100,197.327544
-1.0,100,198.849832
-1.0,100,200.267114
1.0,68,200.544829
-1.0,100,201.993895
-1.0,100,203.42239
-1.0,100,204.813392
-1.0,100,205.228587
-1.0,100,206.694546
-1.0,100,208.085453
-1.0,100,209.523877
1.0,24,209.62006
1.0,88,211.046308
-1.0,100,211.438065
-1.0,100,212.822835
1.0,59,214.082372
-1.0,100,214.50331
1.0,73,215.764292
1.0,42,215.953402
-1.0,100,217.43114
1.0,78,218.730446
1.0,40,218.892486
-1.0,100,220.325232
-1.0,100,221.836783
-1.0,100,222.225101
-1.0,100,223.529891
-1.0,100,224.935235
-1.0,100,226.366556
1.0,75,226.648902
1.0,63,227.972883
1.0,9,228.013429
-1.0,100,229.42868
-1.0,100,229.832588
-1.0,100,231.32795
-1.0,100,232.741752
-1.0,100,234.215905
-1.0,100,235.583499
-1.0,100,235.965873
-1.0,100,237.328403
-1.0,100,238.801267
-1.0,100,240.174546
-1.0,100,241.613259
-1.0,100,242.045988
-1.0,100,243.444322
-1.0,100,244.857206
-1.0,100,246.243446
-1.0,100,246.654514
-1.0,100,248.003163
1.0,53,249.212113
-1.0,100,249.607499
-1.0,100,251.022192
-1.0,100,252.477493
-1.0,100,253.863147
-1.0,100,255.280089
1.0,16,255.33912
1.0,56,255.551521
-1.0,100,256.915644
1.0,70,257.203861
-1.0,100,258.612924
-1.0,100,260.094117
-1.0,100,261.442837
-1.0,100,262.80034
-1.0,100,263.194577
-1.0,100,264.537583
-1.0,100,265.973647
-1.0,100,267.730396
-1.0,100,268.153715
-1.0,100,269.595865
-1.0,100,270.987506
-1.0,100,272.364446
-1.0,100,273.761509
-1.0,100,274.158584
-1.0,100,275.496322
1.0,64,276.699277
-1.0,100,277.082405
1.0,10,277.116976
-1.0,100,278.530298
-1.0,100,279.938903
-1.0,100,281.457043
1.0,98,282.888441
-1.0,100,283.321257
-1.0,100,284.750816
-1.0,100,286.232801
-1.0,100,287.598556
-1.0,100,288.97611
-1.0,100,289.40687
-1.0,100,290.796865
-1.0,100,292.158022
-1.0,100,293.592523
-1.0,100,293.993889
-1.0,100,295.363763
-1.0,100,296.89975
-1.0,100,298.294413
-1.0,100,299.742668
-1.0,100,300.125764
-1.0,100,301.46894
-1.0,100,302.846081
-1.0,100,304.264224
-1.0,100,304.670835
-1.0,100,306.089883
-1.0,100,307.4705
-1.0,100,308.822028
-1.0,100,310.220715
-1.0,100,310.639431
-1.0,100,312.022472
-1.0,100,313.399678
-1.0,100,314.756155
-1.0,100,315.14432
-1.0,100,316.556604
-1.0,100,318.022813
-1.0,100,319.472653
-1.0,100,320.906982
-1.0,100,321.290053
-1.0,100,322.668508
-1.0,100,324.063694
-1.0,100,325.431803
-1.0,100,326.791738
-1.0,100,327.187738
-1.0,100,328.584518
-1.0,100,329.985019
-1.0,100,331.321132
-1.0,100,331.732963
-1.0,100,333.094803
-1.0,100,334.551502
-1.0,100,335.979472
-1.0,100,337.382303
-1.0,100,337.760667
1.0,31,338.85742
-1.0,100,339.283766
-1.0,100,340.639549
-1.0,100,342.019527
-1.0,100,343.414834
-1.0,100,343.852473
-1.0,100,345.315841
-1.0,100,346.896851
-1.0,100,348.303258
-1.0,100,349.804001
-1.0,100,350.207289
1.0,19,351.318255
1.0,53,351.529884
-1.0,100,352.894452
1.0,70,353.184727
-1.0,100,354.480453
-1.0,100,355.873232
-1.0,100,357.289882
-1.0,100,357.680729
-1.0,100,359.080437
1.0,47,360.263043
-1.0,100,360.689654
-1.0,100,362.073222
-1.0,100,363.414391
-1.0,100,364.985598
-1.0,100,365.381799
-1.0,100,366.776902
-1.0,100,368.145531
-1.0,100,369.575979
1.0,58,369.801046
1.0,26,369.902816
-1.0,100,371.265451
-1.0,100,372.698007
1.0,29,372.819669
-1.0,100,374.257005
-1.0,100,375.673319
1.0,50,375.876896
-1.0,100,377.23029
1.0,87,378.591229
1.0,91,378.969331
-1.0,100,380.394171
-1.0,100,381.859719
-1.0,100,383.497188
-1.0,100,383.909061
1.0,18,384.979549
1.0,32,385.115008
-1.0,100,386.572977
-1.0,100,386.984752
1.0,84,388.338529
-1.0,100,389.765517
-1.0,100,391.177704
-1.0,100,391.5804
