#{"env_id": null, "t_start": 1550439889.1704478}
r,l,t
-1.0,100,5.864344
-1.0,100,8.109666
1.0,79,9.492655
1.0,81,9.817547
-1.0,100,11.315186
-1.0,100,12.753422
-1.0,100,14.119244
-1.0,100,14.507481
-1.0,100,15.899639
1.0,24,16.002151
-1.0,100,17.492898
-1.0,100,18.960243
-1.0,100,20.398319
-1.0,100,21.792681
-1.0,100,22.158201
1.0,83,23.612187
-1.0,100,24.996589
1.0,18,25.067808
-1.0,100,26.400477
-1.0,100,26.801276
-1.0,100,28.197882
-1.0,100,29.661844
-1.0,100,31.148793
-1.0,100,32.633299
-1.0,100,33.019285
-1.0,100,34.561671
1.0,83,35.947571
-1.0,100,37.320038
-1.0,100,37.687107
-1.0,100,39.071607
-1.0,100,40.506682
-1.0,100,41.989217
-1.0,100,42.387232
-1.0,100,43.910285
-1.0,100,45.347123
1.0,96,46.778813
-1.0,100,48.125361
-1.0,100,48.537355
-1.0,100,50.086383
1.0,62,51.343555
1.0,10,51.385854
-1.0,100,51.758869
-1.0,100,53.137378
-1.0,100,54.596764
-1.0,100,56.13497
-1.0,100,57.459443
-1.0,100,57.876999
-1.0,100,59.226722
-1.0,100,60.673996
-1.0,100,62.115837
1.0,57,62.31734
1.0,88,63.590636
-1.0,100,65.077375
1.0,38,65.240776
-1.0,100,66.71833
-1.0,100,67.092032
-1.0,100,68.425245
-1.0,100,69.744473
-1.0,100,71.073744
-1.0,100,72.54214
-1.0,100,72.905526
-1.0,100,74.2806
-1.0,100,75.620525
-1.0,100,77.139509
1.0,99,78.409449
-1.0,100,78.800058
-1.0,100,80.238613
-1.0,100,81.632845
-1.0,100,83.037195
-1.0,100,83.428808
-1.0,100,84.80126
-1.0,100,86.278855
-1.0,100,87.681601
-1.0,100,89.218213
-1.0,100,89.604484
-1.0,100,90.966629
1.0,23,91.075144
1.0,7,91.104315
1.0,45,92.4886
-1.0,100,92.844766
-1.0,100,94.209035
1.0,19,94.286299
-1.0,100,95.665852
-1.0,100,97.235714
-1.0,100,98.595793
-1.0,100,100.034627
1.0,95,100.386574
-1.0,100,101.746209
1.0,39,101.890789
-1.0,100,103.340568
1.0,27,103.442681
1.0,59,104.657874
-1.0,100,106.091412
-1.0,100,106.506614
-1.0,100,107.941246
1.0,35,108.061681
-1.0,100,109.442899
-1.0,100,110.94864
-1.0,100,112.394584
1.0,93,112.754224
-1.0,100,114.125297
-1.0,100,115.556472
-1.0,100,116.904739
-1.0,100,118.287486
1.0,62,118.557728
-1.0,100,119.926613
-1.0,100,121.271653
-1.0,100,121.674146
-1.0,100,123.011397
1.0,89,124.286429
-1.0,100,125.611127
-1.0,100,126.002614
-1.0,100,127.531385
1.0,9,127.570265
-1.0,100,128.999031
1.0,46,129.18696
1.0,26,130.349759
-1.0,100,130.751273
1.0,27,132.02468
-1.0,100,132.404284
-1.0,100,133.714536
-1.0,100,135.14746
-1.0,100,136.482817
-1.0,100,137.824783
-1.0,100,138.207218
-1.0,100,139.55046
-1.0,100,140.920269
1.0,25,141.027772
1.0,67,142.293874
-1.0,100,142.664887
-1.0,100,144.027234
-1.0,100,145.345984
-1.0,100,146.851721
-1.0,100,148.271373
-1.0,100,148.67644
-1.0,100,150.025323
-1.0,100,151.369084
-1.0,100,152.789213
-1.0,100,153.197002
-1.0,100,154.611707
1.0,85,156.142685
-1.0,100,157.63475
1.0,19,157.717654
1.0,40,157.872599
1.0,38,158.021396
-1.0,100,159.382976
-1.0,100,160.834109
-1.0,100,162.178651
-1.0,100,163.532888
-1.0,100,163.936893
-1.0,100,165.327608
-1.0,100,166.68068
1.0,100,168.144886
-1.0,100,168.572828
1.0,24,169.624956
1.0,25,169.736298
-1.0,100,171.104221
1.0,82,171.429044
-1.0,100,172.913823
-1.0,100,174.263878
1.0,7,174.292734
-1.0,100,175.760763
-1.0,100,176.191362
1.0,83,177.494098
-1.0,100,179.044206
-1.0,100,180.427113
-1.0,100,180.843162
-1.0,100,182.249114
-1.0,100,183.617282
1.0,40,183.784015
-1.0,100,185.066553
-1.0,100,186.557219
-1.0,100,188.060073
-1.0,100,188.464696
-1.0,100,189.885901
-1.0,100,191.317462
-1.0,100,192.660835
-1.0,100,194.05985
-1.0,100,194.467885
-1.0,100,195.847292
1.0,12,195.893654
-1.0,100,197.255448
1.0,8,197.288091
-1.0,100,198.78684
-1.0,100,200.203452
-1.0,100,200.581191
-1.0,100,202.231076
-1.0,100,203.583996
1.0,81,204.953217
-1.0,100,205.36358
-1.0,100,206.712994
-1.0,100,208.066217
1.0,21,208.155239
-1.0,100,209.539243
-1.0,100,210.968472
-1.0,100,211.393697
1.0,11,212.469903
-1.0,100,212.881243
-1.0,100,214.279954
1.0,41,214.455776
-1.0,100,215.987062
-1.0,100,217.38942
-1.0,100,218.872788
-1.0,100,220.341294
1.0,89,220.700937
-1.0,100,222.122438
1.0,38,222.258349
-1.0,100,223.557745
-1.0,100,225.110308
-1.0,100,226.543299
-1.0,100,226.972906
1.0,18,228.025432
-1.0,100,228.428963
1.0,82,229.779557
-1.0,100,231.116421
-1.0,100,232.540401
1.0,64,232.772766
-1.0,100,234.377898
-1.0,100,235.789679
-1.0,100,236.215349
-1.0,100,237.616635
-1.0,100,239.063377
1.0,83,240.431191
1.0,37,240.578591
-1.0,100,241.99587
1.0,24,242.085616
-1.0,100,243.478014
1.0,37,243.640578
-1.0,100,245.060196
-1.0,100,246.396963
-1.0,100,246.820475
-1.0,100,248.226866
-1.0,100,249.658391
-1.0,100,251.059907
1.0,19,251.136028
-1.0,100,252.561107
1.0,65,252.832462
-1.0,100,254.267274
1.0,30,254.396442
1.0,11,254.439355
-1.0,100,255.891247
-1.0,100,257.232275
-1.0,100,258.679088
-1.0,100,259.069593
-1.0,100,260.410906
-1.0,100,261.876234
-1.0,100,263.265782
1.0,22,263.352188
-1.0,100,264.852446
1.0,29,264.967935
-1.0,100,266.35581
1.0,19,266.432728
1.0,25,266.538844
1.0,63,266.782867
-1.0,100,268.189145
-1.0,100,269.536674
-1.0,100,270.880743
-1.0,100,272.295784
-1.0,100,272.728401
-1.0,100,274.110212
-1.0,100,275.559312
1.0,70,275.850719
1.0,79,277.206819
-1.0,100,278.593446
1.0,29,278.717283
1.0,49,278.902246
-1.0,100,280.419068
-1.0,100,281.826315
-1.0,100,283.192123
-1.0,100,284.509859
-1.0,100,284.915675
1.0,22,286.018084
1.0,37,286.181993
-1.0,100,287.6459
-1.0,100,288.079251
1.0,6,288.103962
-1.0,100,289.536936
-1.0,100,290.905285
-1.0,100,292.234497
-1.0,100,293.706279
1.0,29,293.813042
-1.0,100,295.142718
-1.0,100,295.567239
1.0,59,296.858224
-1.0,100,298.317165
1.0,94,298.68573
-1.0,100,300.002945
-1.0,100,301.377931
-1.0,100,302.769818
1.0,39,302.931419
-1.0,100,304.310967
-1.0,100,305.648218
1.0,84,305.959221
-1.0,100,307.338994
1.0,55,307.536572
-1.0,100,308.904005
-1.0,100,310.275157
-1.0,100,311.619024
-1.0,100,312.995242
-1.0,100,313.391043
1.0,65,314.577435
-1.0,100,316.151213
-1.0,100,316.540526
1.0,100,318.043134
1.0,60,319.36819
1.0,3,319.378923
-1.0,100,319.752651
1.0,82,321.062682
-1.0,100,322.47666
-1.0,100,323.829633
1.0,100,324.248401
-1.0,100,325.673398
-1.0,100,327.08998
-1.0,100,328.445002
