#{"env_id": null, "t_start": 1550428155.0825036}
r,l,t
-1.0,100,4.885597
-1.0,100,7.29717
1.0,9,7.322995
-1.0,100,8.344237
-1.0,100,9.401032
-1.0,100,9.684176
1.0,72,10.639738
-1.0,100,11.728224
-1.0,100,12.808125
1.0,78,13.036084
1.0,47,13.99945
-1.0,100,14.258909
-1.0,100,15.344184
-1.0,100,16.356945
-1.0,100,17.435492
1.0,58,17.599912
-1.0,100,18.610835
1.0,78,19.733554
-1.0,100,20.152969
1.0,37,21.139896
1.0,81,21.479454
-1.0,100,22.623061
-1.0,100,23.632334
-1.0,100,24.705365
-1.0,100,25.030408
-1.0,100,26.177791
1.0,14,26.221914
1.0,12,26.256614
-1.0,100,27.293537
1.0,30,27.381994
-1.0,100,28.46615
-1.0,100,29.524994
1.0,90,30.535377
-1.0,100,30.823982
1.0,30,31.753159
-1.0,100,32.188794
-1.0,100,33.311771
-1.0,100,34.459867
-1.0,100,35.5302
-1.0,100,36.69735
-1.0,100,37.072448
-1.0,100,38.186888
-1.0,100,39.376408
1.0,50,39.61284
-1.0,100,40.780312
1.0,33,40.89067
-1.0,100,42.00746
-1.0,100,43.252961
-1.0,100,44.508333
-1.0,100,44.868308
-1.0,100,46.135185
1.0,14,46.181753
-1.0,100,47.349025
-1.0,100,48.569804
-1.0,100,49.752868
1.0,49,49.900708
-1.0,100,51.034164
-1.0,100,52.198688
1.0,57,52.389718
1.0,90,53.654676
1.0,20,53.722955
-1.0,100,55.004913
-1.0,100,56.273025
-1.0,100,56.599041
1.0,40,57.628994
-1.0,100,58.010564
1.0,70,59.085241
-1.0,100,60.271003
-1.0,100,60.63587
1.0,68,61.981526
-1.0,100,63.179404
-1.0,100,64.396899
-1.0,100,64.736728
1.0,31,65.754509
1.0,11,65.79893
-1.0,100,66.165719
1.0,38,67.228146
-1.0,100,68.606379
1.0,96,68.935475
1.0,54,70.022628
-1.0,100,71.31227
-1.0,100,71.671771
-1.0,100,72.866391
1.0,7,72.896475
1.0,19,72.978453
1.0,24,73.075087
-1.0,100,74.602432
-1.0,100,76.097544
-1.0,100,77.345293
1.0,92,78.493318
1.0,84,78.772929
-1.0,100,80.022538
-1.0,100,81.461183
-1.0,100,82.713435
-1.0,100,83.079964
-1.0,100,84.387441
1.0,60,85.453421
-1.0,100,85.837397
-1.0,100,87.250518
-1.0,100,88.472879
-1.0,100,89.674993
-1.0,100,90.026818
1.0,13,90.977302
-1.0,100,91.387017
-1.0,100,92.592671
-1.0,100,93.810818
1.0,98,95.029326
-1.0,100,95.364612
1.0,34,96.384067
-1.0,100,96.73857
-1.0,100,98.162653
-1.0,100,99.400302
-1.0,100,100.647345
-1.0,100,101.902633
-1.0,100,102.261209
-1.0,100,103.516219
-1.0,100,104.851441
1.0,97,106.230449
1.0,59,106.452236
1.0,51,107.521826
-1.0,100,107.898054
-1.0,100,109.316689
-1.0,100,110.531777
-1.0,100,111.801879
-1.0,100,112.15807
-1.0,100,113.394111
1.0,41,114.411677
-1.0,100,114.793143
1.0,6,114.815359
-1.0,100,116.176409
1.0,63,117.342664
-1.0,100,117.709108
-1.0,100,119.06325
-1.0,100,120.400327
1.0,66,121.552662
-1.0,100,121.896416
-1.0,100,123.15201
-1.0,100,124.460992
-1.0,100,125.760314
-1.0,100,126.133877
1.0,50,127.204142
-1.0,100,128.554959
1.0,48,128.731875
-1.0,100,129.953276
1.0,13,129.995994
-1.0,100,131.219513
-1.0,100,131.556729
-1.0,100,132.834873
-1.0,100,134.051385
-1.0,100,135.326988
1.0,88,135.647761
-1.0,100,136.921289
-1.0,100,138.181439
-1.0,100,139.524621
-1.0,100,140.806268
-1.0,100,141.176809
1.0,18,142.111063
-1.0,100,142.498616
-1.0,100,143.940684
1.0,16,143.996767
-1.0,100,145.249442
1.0,30,145.353798
-1.0,100,146.617489
-1.0,100,147.945087
-1.0,100,149.134324
-1.0,100,149.491933
-1.0,100,150.705808
-1.0,100,152.039366
-1.0,100,153.367603
1.0,77,153.656651
1.0,24,153.732052
-1.0,100,155.098942
-1.0,100,156.393829
-1.0,100,157.746476
-1.0,100,158.977257
-1.0,100,159.351006
-1.0,100,160.644046
-1.0,100,161.958029
-1.0,100,163.206974
-1.0,100,164.465726
-1.0,100,164.861201
-1.0,100,166.170289
-1.0,100,167.444916
-1.0,100,168.714265
-1.0,100,169.072729
1.0,32,170.11379
1.0,26,170.201119
-1.0,100,171.491863
-1.0,100,171.880537
1.0,39,172.95856
1.0,85,173.268955
1.0,67,174.400554
-1.0,100,175.593284
1.0,74,175.876759
1.0,36,176.958821
1.0,27,177.04713
-1.0,100,178.313913
1.0,21,178.38739
-1.0,100,179.772784
1.0,80,180.06795
1.0,16,180.121756
-1.0,100,181.479075
1.0,41,181.630268
1.0,41,182.67462
1.0,41,182.820719
-1.0,100,184.100305
-1.0,100,185.387474
-1.0,100,185.753194
-1.0,100,186.952118
1.0,88,188.125443
-1.0,100,189.393431
1.0,72,189.70898
-1.0,100,191.020941
-1.0,100,192.383081
-1.0,100,193.613882
-1.0,100,193.996513
-1.0,100,195.258137
-1.0,100,196.550573
-1.0,100,197.802355
-1.0,100,198.19264
-1.0,100,199.502036
1.0,19,199.569282
