#{"t_start": 1550428214.9017096, "env_id": null}
r,l,t
-1.0,100,5.124159
-1.0,100,7.235821
-1.0,100,8.517572
-1.0,100,9.71032
-1.0,100,10.042755
-1.0,100,11.250448
1.0,78,12.368558
-1.0,100,13.64054
-1.0,100,13.996042
-1.0,100,15.51515
1.0,52,16.65929
-1.0,100,16.995153
-1.0,100,18.255397
-1.0,100,19.470234
-1.0,100,20.755965
-1.0,100,21.070173
1.0,97,22.294167
-1.0,100,23.555136
-1.0,100,24.772486
-1.0,100,25.960151
-1.0,100,26.302207
-1.0,100,27.614252
1.0,67,28.792512
-1.0,100,29.133761
-1.0,100,30.40254
-1.0,100,31.686932
-1.0,100,33.013052
-1.0,100,34.326566
-1.0,100,34.6654
1.0,10,34.703489
-1.0,100,35.993696
1.0,57,37.047654
1.0,41,37.184155
-1.0,100,38.425753
1.0,68,38.669844
1.0,44,39.752178
-1.0,100,40.097594
-1.0,100,41.379243
1.0,32,41.498479
-1.0,100,42.784442
-1.0,100,44.041979
1.0,22,44.118928
1.0,27,44.213257
-1.0,100,45.439805
-1.0,100,46.694181
-1.0,100,47.904502
1.0,80,48.189127
-1.0,100,49.409172
1.0,91,50.607909
1.0,15,50.665396
-1.0,100,51.970961
1.0,85,52.26998
-1.0,100,53.475996
-1.0,100,54.657721
-1.0,100,55.86442
-1.0,100,57.09126
-1.0,100,57.445962
-1.0,100,58.629969
-1.0,100,59.866842
1.0,20,59.931171
-1.0,100,61.205078
-1.0,100,62.413913
-1.0,100,62.730319
1.0,93,63.921228
1.0,48,64.073794
-1.0,100,65.333908
-1.0,100,66.528767
1.0,41,66.675733
-1.0,100,67.901428
1.0,87,69.02237
1.0,41,69.156411
-1.0,100,70.378815
-1.0,100,71.657039
-1.0,100,71.984098
-1.0,100,73.169285
1.0,12,73.205962
-1.0,100,74.477359
1.0,87,75.678366
-1.0,100,76.884043
-1.0,100,77.219188
1.0,50,78.279133
-1.0,100,79.493311
1.0,24,79.574184
1.0,61,79.770057
-1.0,100,81.044293
-1.0,100,82.256229
-1.0,100,83.470079
-1.0,100,83.796245
-1.0,100,85.017117
1.0,20,85.091596
-1.0,100,86.30831
-1.0,100,87.50957
-1.0,100,88.754095
-1.0,100,89.088512
-1.0,100,90.319359
-1.0,100,91.557483
-1.0,100,92.770997
-1.0,100,94.040797
1.0,30,94.136267
-1.0,100,95.313192
-1.0,100,95.631477
-1.0,100,96.837197
-1.0,100,98.027613
-1.0,100,99.267895
1.0,29,99.363148
-1.0,100,100.575375
-1.0,100,100.910082
-1.0,100,102.088425
-1.0,100,103.362088
-1.0,100,104.562431
-1.0,100,105.761879
-1.0,100,106.089011
-1.0,100,107.300964
1.0,40,107.42867
-1.0,100,108.625646
1.0,27,108.706618
1.0,41,109.730625
-1.0,100,110.981348
-1.0,100,111.318815
-1.0,100,112.631299
-1.0,100,113.84329
-1.0,100,115.063393
-1.0,100,115.405525
1.0,96,116.612859
-1.0,100,117.798902
-1.0,100,119.014529
-1.0,100,120.286184
-1.0,100,120.628447
-1.0,100,121.809947
1.0,96,123.049982
-1.0,100,124.250503
-1.0,100,124.598104
-1.0,100,125.787236
-1.0,100,127.021191
-1.0,100,128.235396
-1.0,100,129.49154
1.0,97,129.854402
-1.0,100,131.072768
-1.0,100,132.293716
-1.0,100,133.55409
1.0,50,133.734039
-1.0,100,135.011453
1.0,25,135.09131
-1.0,100,136.283981
-1.0,100,137.483937
1.0,51,137.655896
-1.0,100,138.854093
-1.0,100,140.144942
-1.0,100,140.451838
-1.0,100,141.668354
-1.0,100,142.908486
-1.0,100,144.092444
-1.0,100,144.402107
-1.0,100,145.597157
1.0,22,145.667619
1.0,55,146.717145
1.0,27,146.806258
1.0,13,146.846876
1.0,85,147.989091
-1.0,100,149.236434
1.0,66,149.450756
-1.0,100,150.729005
-1.0,100,152.228531
1.0,23,152.302485
1.0,7,152.328646
1.0,6,152.351479
1.0,49,152.518411
1.0,63,153.642487
-1.0,100,154.854752
1.0,50,155.008632
-1.0,100,156.197954
1.0,8,156.225897
-1.0,100,157.450739
1.0,72,157.673246
-1.0,100,158.903254
1.0,26,158.984499
-1.0,100,160.195233
1.0,25,160.268476
1.0,27,160.349967
-1.0,100,161.546056
1.0,44,161.687716
1.0,88,162.8885
-1.0,100,164.105254
-1.0,100,165.308163
-1.0,100,165.659437
1.0,7,166.621903
-1.0,100,166.929583
-1.0,100,168.112363
-1.0,100,169.395016
-1.0,100,170.615208
-1.0,100,170.96083
1.0,31,171.980459
-1.0,100,172.295761
1.0,98,173.498102
-1.0,100,174.711775
-1.0,100,175.903309
-1.0,100,177.088496
-1.0,100,177.423451
1.0,24,178.352941
-1.0,100,178.686857
-1.0,100,179.932541
-1.0,100,181.198329
-1.0,100,182.424198
1.0,31,182.524335
1.0,16,182.57707
-1.0,100,183.838729
-1.0,100,185.010617
-1.0,100,185.328305
1.0,98,186.554158
-1.0,100,187.814541
-1.0,100,189.015006
-1.0,100,190.24494
1.0,53,190.429425
-1.0,100,191.705687
-1.0,100,192.029994
-1.0,100,193.251941
-1.0,100,194.449816
-1.0,100,195.662338
-1.0,100,196.874543
-1.0,100,197.210759
-1.0,100,198.371935
1.0,9,198.401204
-1.0,100,199.608545
1.0,66,200.655321
-1.0,100,201.000088
-1.0,100,202.191206
1.0,38,202.321892
1.0,43,203.337508
1.0,89,203.633258
1.0,13,204.532107
-1.0,100,204.859147
1.0,19,204.925533
-1.0,100,206.153706
-1.0,100,207.344172
1.0,20,207.414109
1.0,12,207.460478
-1.0,100,208.693544
-1.0,100,209.897106
-1.0,100,211.092496
1.0,87,211.398945
