#{"t_start": 1550437205.385178, "env_id": null}
r,l,t
-1.0,100,8.57275
-1.0,100,11.057436
-1.0,100,12.409132
-1.0,100,13.851582
-1.0,100,14.262546
-1.0,100,15.624193
-1.0,100,17.060641
-1.0,100,18.430352
-1.0,100,19.839049
1.0,100,20.249655
-1.0,100,21.64432
-1.0,100,23.095274
-1.0,100,24.43687
-1.0,100,24.860256
-1.0,100,26.221353
-1.0,100,27.574532
1.0,7,27.602152
-1.0,100,29.026929
-1.0,100,30.49999
1.0,56,30.724215
-1.0,100,32.177785
-1.0,100,33.510172
1.0,68,33.79592
-1.0,100,35.180017
-1.0,100,36.673927
-1.0,100,37.059604
-1.0,100,38.427493
1.0,5,38.447276
-1.0,100,39.834993
-1.0,100,41.302964
-1.0,100,42.713539
1.0,21,42.803607
-1.0,100,44.199368
-1.0,100,44.589716
-1.0,100,46.047645
-1.0,100,47.432041
1.0,59,47.669665
-1.0,100,49.097593
1.0,27,49.219585
-1.0,100,50.640572
-1.0,100,52.080469
-1.0,100,53.51816
-1.0,100,54.876659
-1.0,100,55.299762
-1.0,100,56.657422
1.0,62,57.914068
1.0,76,58.224015
1.0,29,58.345866
-1.0,100,59.81008
-1.0,100,61.22248
-1.0,100,62.610495
1.0,23,62.710752
1.0,72,63.02234
-1.0,100,64.483914
-1.0,100,65.848776
1.0,9,65.887234
1.0,92,67.294731
-1.0,100,68.667345
-1.0,100,69.079591
1.0,82,70.351549
-1.0,100,71.729561
1.0,15,71.787097
-1.0,100,73.135755
-1.0,100,73.515056
1.0,13,74.617737
-1.0,100,75.00446
-1.0,100,76.47027
-1.0,100,77.805415
1.0,38,77.959282
-1.0,100,79.37137
-1.0,100,80.82708
1.0,10,80.868047
1.0,40,81.02595
-1.0,100,82.396022
-1.0,100,83.777079
-1.0,100,85.155585
-1.0,100,85.546834
-1.0,100,86.8816
-1.0,100,88.388817
1.0,69,88.673936
1.0,32,89.773325
-1.0,100,90.170956
-1.0,100,91.54452
1.0,61,92.719388
-1.0,100,93.098447
1.0,41,94.261865
1.0,43,94.433323
-1.0,100,95.823839
1.0,43,96.007077
-1.0,100,97.475648
-1.0,100,98.895065
-1.0,100,100.226588
1.0,22,100.313156
1.0,92,100.655164
1.0,32,101.816144
1.0,65,102.076316
-1.0,100,103.48134
-1.0,100,104.855023
-1.0,100,106.358783
1.0,64,106.678614
1.0,10,106.736203
1.0,11,106.794983
-1.0,100,108.184926
-1.0,100,109.513843
-1.0,100,110.79013
1.0,37,110.938314
-1.0,100,112.368165
-1.0,100,112.829992
-1.0,100,114.527718
-1.0,100,115.93428
1.0,83,117.277843
-1.0,100,117.649956
-1.0,100,119.107038
1.0,92,120.470984
1.0,80,121.887865
1.0,26,121.985904
-1.0,100,123.343676
-1.0,100,123.760754
-1.0,100,125.135884
-1.0,100,126.528692
1.0,72,126.825028
-1.0,100,128.171205
-1.0,100,129.552487
1.0,33,129.68523
-1.0,100,131.000308
-1.0,100,132.364354
-1.0,100,133.709613
-1.0,100,134.101279
-1.0,100,135.468777
1.0,86,136.839728
-1.0,100,138.223351
1.0,37,138.374317
-1.0,100,139.815073
1.0,91,140.16289
-1.0,100,141.637639
-1.0,100,143.281679
1.0,43,143.471953
-1.0,100,144.925526
1.0,57,146.231062
1.0,19,146.30737
1.0,63,146.561948
-1.0,100,147.944541
1.0,96,149.349027
-1.0,100,149.723882
-1.0,100,151.101025
-1.0,100,152.514191
-1.0,100,153.852275
-1.0,100,155.265491
-1.0,100,155.660419
-1.0,100,157.108176
-1.0,100,158.483794
1.0,25,158.583739
-1.0,100,159.976926
1.0,55,160.20235
1.0,16,160.274631
-1.0,100,161.614461
-1.0,100,162.961984
-1.0,100,164.401723
-1.0,100,165.774524
1.0,7,165.805172
1.0,68,166.086587
-1.0,100,167.472287
-1.0,100,168.794197
1.0,80,169.110454
1.0,56,170.36551
1.0,12,170.422144
1.0,54,170.642238
-1.0,100,171.994659
-1.0,100,173.4575
1.0,59,173.704735
-1.0,100,175.199372
-1.0,100,176.582843
1.0,15,176.643145
-1.0,100,178.036216
-1.0,100,179.411347
1.0,15,179.473445
-1.0,100,180.91494
-1.0,100,181.320688
-1.0,100,182.706471
1.0,22,182.794296
-1.0,100,184.19063
-1.0,100,185.591007
-1.0,100,186.948145
-1.0,100,187.342999
-1.0,100,188.695774
1.0,60,189.898295
-1.0,100,190.299037
-1.0,100,191.6694
1.0,86,193.067092
-1.0,100,194.419205
1.0,94,194.787853
-1.0,100,196.142156
1.0,51,197.452174
-1.0,100,197.860183
-1.0,100,199.254359
-1.0,100,200.683569
-1.0,100,202.001019
-1.0,100,202.414358
-1.0,100,203.788404
-1.0,100,205.162674
-1.0,100,206.491397
-1.0,100,207.830173
