#{"env_id": null, "t_start": 1550437317.9601314}
r,l,t
-1.0,100,5.956501
-1.0,100,8.474896
-1.0,100,9.854214
-1.0,100,11.201881
-1.0,100,11.622569
-1.0,100,13.021966
-1.0,100,14.36556
-1.0,100,15.811178
-1.0,100,17.212863
-1.0,100,17.627199
1.0,22,17.718626
-1.0,100,19.142616
1.0,30,19.265754
-1.0,100,20.667979
-1.0,100,22.063434
-1.0,100,23.458472
-1.0,100,24.912353
1.0,36,25.044537
1.0,64,25.308702
-1.0,100,26.720152
-1.0,100,28.170774
-1.0,100,29.678368
1.0,16,29.764197
-1.0,100,31.319426
-1.0,100,31.722129
-1.0,100,33.094152
1.0,100,34.446491
1.0,52,34.646938
-1.0,100,36.045443
-1.0,100,37.457689
-1.0,100,38.814569
1.0,57,39.026397
-1.0,100,40.377585
-1.0,100,41.724166
-1.0,100,43.108465
-1.0,100,43.500339
-1.0,100,44.827684
-1.0,100,46.221343
-1.0,100,47.588336
1.0,19,47.669047
-1.0,100,49.04252
-1.0,100,49.441519
-1.0,100,50.85054
-1.0,100,52.35025
-1.0,100,53.930245
-1.0,100,54.34482
-1.0,100,55.717616
-1.0,100,57.054596
1.0,41,57.226574
-1.0,100,58.603319
1.0,25,58.703341
-1.0,100,60.27925
-1.0,100,61.67399
-1.0,100,63.025803
-1.0,100,63.411031
-1.0,100,64.897303
-1.0,100,66.249214
-1.0,100,67.588737
-1.0,100,68.963
1.0,13,69.020066
-1.0,100,69.402425
-1.0,100,70.73386
1.0,89,72.115949
-1.0,100,73.598084
-1.0,100,74.922999
-1.0,100,75.298187
-1.0,100,76.625944
-1.0,100,77.931892
-1.0,100,79.291421
-1.0,100,79.692312
-1.0,100,81.174321
1.0,83,82.582448
1.0,19,82.664947
-1.0,100,84.086101
-1.0,100,85.4349
-1.0,100,85.845026
-1.0,100,87.359999
-1.0,100,88.732944
-1.0,100,90.188414
-1.0,100,90.594615
-1.0,100,91.946991
1.0,19,92.021368
-1.0,100,93.376858
1.0,16,93.440039
-1.0,100,94.820575
-1.0,100,96.163857
-1.0,100,97.575131
-1.0,100,97.962296
-1.0,100,99.400164
1.0,11,99.45152
-1.0,100,100.766997
-1.0,100,102.154615
-1.0,100,103.579909
-1.0,100,103.995482
-1.0,100,105.335945
1.0,31,105.466699
1.0,97,106.861915
1.0,97,108.216897
-1.0,100,109.65834
1.0,33,109.79703
1.0,60,110.040762
-1.0,100,111.400023
-1.0,100,112.718259
1.0,81,114.136025
1.0,18,114.212348
-1.0,100,115.604829
-1.0,100,115.998133
-1.0,100,117.368797
-1.0,100,118.733393
1.0,60,118.966363
-1.0,100,120.391403
-1.0,100,121.728995
1.0,56,121.944762
1.0,32,123.017707
-1.0,100,123.39862
1.0,37,124.575817
-1.0,100,125.911291
-1.0,100,126.313419
-1.0,100,127.729921
-1.0,100,129.116898
1.0,41,129.270038
-1.0,100,130.577395
-1.0,100,131.928047
-1.0,100,133.335675
-1.0,100,133.734144
-1.0,100,135.107388
1.0,82,136.453741
-1.0,100,137.839719
1.0,83,138.209263
1.0,45,139.396424
1.0,13,139.459942
1.0,78,139.759833
-1.0,100,141.160756
-1.0,100,142.520699
-1.0,100,143.998476
-1.0,100,144.387373
-1.0,100,145.84637
-1.0,100,147.427723
-1.0,100,148.968312
-1.0,100,149.3869
-1.0,100,150.757827
-1.0,100,152.198497
-1.0,100,153.531861
-1.0,100,154.911729
1.0,71,155.190741
-1.0,100,156.645089
-1.0,100,158.024455
1.0,65,158.297435
1.0,80,159.660349
-1.0,100,161.066454
-1.0,100,161.491961
1.0,35,162.636525
1.0,29,162.756853
-1.0,100,164.210727
1.0,40,164.381529
-1.0,100,165.768773
-1.0,100,167.104287
-1.0,100,167.518815
-1.0,100,168.896871
-1.0,100,170.280973
-1.0,100,171.648572
-1.0,100,172.050968
1.0,64,173.320539
-1.0,100,174.701632
1.0,39,174.877301
-1.0,100,176.258986
-1.0,100,177.672588
-1.0,100,178.052153
-1.0,100,179.502352
-1.0,100,180.810408
1.0,32,180.938598
-1.0,100,182.328946
-1.0,100,183.707526
1.0,81,184.021531
-1.0,100,185.392159
-1.0,100,186.783556
-1.0,100,188.118841
1.0,6,188.146681
-1.0,100,189.528079
-1.0,100,189.934955
1.0,7,189.965065
-1.0,100,191.429489
-1.0,100,192.809335
-1.0,100,194.182667
1.0,3,194.194742
-1.0,100,195.525122
1.0,40,195.68759
-1.0,100,197.050761
1.0,41,197.218922
1.0,84,198.567969
-1.0,100,198.962018
-1.0,100,200.339713
-1.0,100,201.688771
-1.0,100,203.105552
1.0,42,203.265471
-1.0,100,204.719483
-1.0,100,206.124887
-1.0,100,206.525445
-1.0,100,207.881645
1.0,20,207.961771
1.0,21,209.000306
1.0,24,209.100034
-1.0,100,209.52333
-1.0,100,210.971231
-1.0,100,212.345089
-1.0,100,213.713784
-1.0,100,215.166038
1.0,32,215.298245
-1.0,100,216.742961
-1.0,100,217.134779
-1.0,100,218.544828
-1.0,100,219.957929
1.0,51,220.16158
-1.0,100,221.47657
1.0,66,222.787489
-1.0,100,223.204179
1.0,17,224.26212
1.0,37,224.416692
-1.0,100,225.797811
1.0,85,226.144652
1.0,23,227.253368
-1.0,100,227.650526
-1.0,100,229.016348
-1.0,100,230.363065
-1.0,100,231.7032
-1.0,100,232.093313
-1.0,100,233.475633
1.0,90,234.853109
-1.0,100,236.340372
1.0,10,236.382889
-1.0,100,237.729731
1.0,22,237.818812
-1.0,100,239.23877
-1.0,100,239.636729
1.0,86,240.906572
-1.0,100,242.307739
-1.0,100,243.678442
-1.0,100,244.071584
1.0,77,245.354279
-1.0,100,246.756825
-1.0,100,247.140252
-1.0,100,248.482481
1.0,7,248.509933
-1.0,100,249.901829
1.0,31,250.029481
-1.0,100,251.388963
1.0,76,252.708345
1.0,37,252.848737
1.0,19,252.923897
1.0,8,252.958101
1.0,74,254.271014
-1.0,100,255.613955
-1.0,100,256.005577
-1.0,100,257.417024
-1.0,100,258.760968
1.0,28,258.879125
-1.0,100,260.281189
1.0,8,260.311342
-1.0,100,261.689453
1.0,9,261.727884
1.0,25,261.82405
-1.0,100,263.235936
1.0,80,263.557618
-1.0,100,264.984684
-1.0,100,266.352963
-1.0,100,267.720188
-1.0,100,269.091928
-1.0,100,269.494733
1.0,63,270.679708
-1.0,100,272.136845
-1.0,100,272.55288
1.0,26,273.651527
1.0,54,273.880326
1.0,30,274.012361
1.0,51,275.283716
1.0,81,275.621997
-1.0,100,277.04627
1.0,84,278.335714
-1.0,100,278.774604
-1.0,100,280.243416
1.0,80,281.602885
1.0,29,281.733469
1.0,13,281.786426
-1.0,100,283.191776
-1.0,100,284.605449
1.0,14,284.66603
1.0,33,284.795385
-1.0,100,286.139158
1.0,48,286.336991
1.0,98,287.807652
1.0,35,287.963634
1.0,33,289.114695
1.0,49,289.311451
-1.0,100,290.719688
1.0,27,290.826769
-1.0,100,292.192895
-1.0,100,293.626512
-1.0,100,294.030089
-1.0,100,295.472541
-1.0,100,296.944559
-1.0,100,298.330975
-1.0,100,298.774928
1.0,27,299.854583
1.0,28,299.971364
1.0,56,300.198318
1.0,15,300.256108
1.0,8,300.289875
-1.0,100,301.68019
1.0,72,302.931027
1.0,55,303.147995
-1.0,100,304.531018
-1.0,100,305.972637
-1.0,100,307.348652
-1.0,100,307.755504
-1.0,100,309.10464
-1.0,100,310.593775
-1.0,100,312.085418
-1.0,100,313.575329
1.0,35,313.724672
-1.0,100,315.091747
1.0,73,315.397574
-1.0,100,316.775548
-1.0,100,318.221054
1.0,45,318.38065
1.0,95,319.757837
-1.0,100,321.094121
-1.0,100,321.498468
1.0,37,322.622505
1.0,62,322.853727
-1.0,100,324.185612
1.0,41,324.351498
-1.0,100,325.751713
-1.0,100,327.176764
-1.0,100,328.542641
1.0,70,328.855967
-1.0,100,330.243875
-1.0,100,331.642918
-1.0,100,332.041792
-1.0,100,333.50223
-1.0,100,334.941657
1.0,46,335.132061
-1.0,100,336.53297
-1.0,100,337.960534
-1.0,100,339.430546
1.0,39,339.583978
-1.0,100,340.965413
1.0,5,340.98825
-1.0,100,342.4573
-1.0,100,342.853336
1.0,16,343.92532
1.0,57,344.155576
-1.0,100,345.620265
1.0,40,345.782907
-1.0,100,347.224045
-1.0,100,348.664089
-1.0,100,349.075409
-1.0,100,350.427819
-1.0,100,351.80723
-1.0,100,353.26842
-1.0,100,354.658399
1.0,33,354.793828
1.0,23,354.892791
1.0,23,354.977441
1.0,42,356.119961
1.0,13,356.179344
1.0,45,356.371292
-1.0,100,357.781163
-1.0,100,359.246236
1.0,39,359.411105
1.0,29,359.531432
-1.0,100,360.943147
1.0,57,361.17903
-1.0,100,362.671432
1.0,64,364.039201
-1.0,100,364.44487
1.0,67,365.787081
-1.0,100,367.180784
-1.0,100,367.58907
1.0,61,368.83454
-1.0,100,370.179387
1.0,10,370.219557
1.0,13,370.28583
1.0,73,370.613063
1.0,28,371.711833
1.0,39,371.867674
1.0,55,372.092472
1.0,37,373.250124
1.0,24,373.346556
-1.0,100,374.713949
-1.0,100,375.104922
1.0,22,376.174673
-1.0,100,376.587402
-1.0,100,377.956624
-1.0,100,379.361742
1.0,42,379.529115
1.0,7,379.558908
-1.0,100,380.919983
-1.0,100,382.294618
-1.0,100,383.717951
1.0,6,383.74554
1.0,24,383.834274
-1.0,100,385.160752
-1.0,100,385.544553
1.0,15,386.652259
-1.0,100,387.052528
1.0,28,388.133849
-1.0,100,388.522147
1.0,19,389.622663
1.0,46,389.805665
1.0,11,389.851788
-1.0,100,391.289372
-1.0,100,392.691375
-1.0,100,393.099541
-1.0,100,394.540444
1.0,44,394.71229
1.0,28,395.801558
-1.0,100,396.208929
-1.0,100,397.599895
1.0,95,398.926406
-1.0,100,400.301667
-1.0,100,401.683737
1.0,7,401.714422
-1.0,100,402.105701
-1.0,100,403.477132
-1.0,100,404.887197
1.0,19,404.963685
-1.0,100,406.509254
-1.0,100,407.847083
-1.0,100,408.230744
-1.0,100,409.592722
1.0,24,409.686285
-1.0,100,411.0555
-1.0,100,412.56183
1.0,50,412.766988
1.0,79,414.061305
-1.0,100,415.3764
-1.0,100,416.835258
-1.0,100,417.241038
-1.0,100,418.656992
1.0,34,418.796146
-1.0,100,420.295547
1.0,25,420.386792
-1.0,100,421.819313
1.0,63,423.063876
-1.0,100,423.456942
-1.0,100,424.892121
1.0,3,424.906871
-1.0,100,426.284301
-1.0,100,427.780921
-1.0,100,429.186321
-1.0,100,429.606464
-1.0,100,430.96098
-1.0,100,432.424791
1.0,87,433.814169
1.0,94,434.200659
1.0,99,435.633127
1.0,61,436.869285
-1.0,100,437.269086
-1.0,100,438.592083
-1.0,100,439.957373
1.0,80,440.289728
1.0,77,441.594116
-1.0,100,443.003972
-1.0,100,444.519535
-1.0,100,444.919915
-1.0,100,446.307419
-1.0,100,447.702551
1.0,12,447.754168
-1.0,100,449.117715
-1.0,100,450.522477
1.0,58,450.750982
-1.0,100,452.160109
1.0,85,453.45928
1.0,81,453.795615
1.0,88,455.083294
1.0,97,456.458693
1.0,60,456.68818
1.0,5,456.710461
-1.0,100,458.137208
-1.0,100,459.516894
1.0,34,459.65766
1.0,71,460.885937
1.0,21,460.970395
1.0,17,461.038326
-1.0,100,462.482747
1.0,83,462.815968
1.0,47,463.95028
1.0,91,464.312016
-1.0,100,465.838556
-1.0,100,467.272072
1.0,29,467.389622
1.0,39,467.55489
-1.0,100,468.955938
1.0,40,470.119649
1.0,74,470.40533
-1.0,100,471.790224
1.0,59,472.026335
1.0,15,472.083325
-1.0,100,473.462491
-1.0,100,474.88872
-1.0,100,476.209911
-1.0,100,477.64445
1.0,78,477.948893
-1.0,100,479.350319
1.0,6,479.376342
-1.0,100,480.827747
1.0,43,481.00112
-1.0,100,482.475693
-1.0,100,483.836369
-1.0,100,484.256448
-1.0,100,485.707634
-1.0,100,487.027768
1.0,41,487.188581
1.0,80,488.484398
-1.0,100,489.839
1.0,49,490.025075
-1.0,100,491.425004
1.0,53,491.621918
1.0,11,491.667768
-1.0,100,493.18453
1.0,16,493.255325
1.0,89,494.586152
-1.0,100,496.061687
1.0,99,497.418511
-1.0,100,497.811245
-1.0,100,499.231067
1.0,30,499.35478
1.0,14,499.409859
1.0,32,500.554436
-1.0,100,501.992928
1.0,17,502.064684
-1.0,100,502.455864
-1.0,100,503.84322
-1.0,100,505.281628
-1.0,100,506.615604
1.0,10,506.654628
1.0,31,506.780036
-1.0,100,508.149796
-1.0,100,509.656268
