#{"env_id": null, "t_start": 1550434953.4949448}
r,l,t
-1.0,100,7.260739
-1.0,100,9.526165
-1.0,100,10.892898
-1.0,100,12.229864
-1.0,100,12.630144
-1.0,100,14.026956
1.0,9,14.062268
-1.0,100,15.511769
-1.0,100,16.832461
1.0,87,17.146771
-1.0,100,18.626901
1.0,69,19.949285
-1.0,100,21.323295
-1.0,100,21.714658
1.0,13,21.766004
-1.0,100,23.283914
-1.0,100,24.650065
-1.0,100,26.06125
-1.0,100,27.391375
1.0,45,27.585788
-1.0,100,29.028435
1.0,56,29.248571
-1.0,100,30.622411
-1.0,100,32.048861
-1.0,100,33.406685
-1.0,100,33.804067
-1.0,100,35.194834
-1.0,100,36.556266
-1.0,100,37.878695
-1.0,100,38.283988
-1.0,100,39.694163
-1.0,100,41.057453
-1.0,100,42.407013
-1.0,100,43.803781
-1.0,100,44.194249
-1.0,100,45.582303
-1.0,100,46.911294
-1.0,100,48.339359
1.0,99,48.720528
1.0,45,49.987495
1.0,89,50.357999
-1.0,100,51.785635
-1.0,100,53.114714
-1.0,100,54.530277
-1.0,100,55.935863
-1.0,100,56.346726
-1.0,100,57.801661
1.0,91,59.265145
-1.0,100,60.70339
-1.0,100,61.116758
1.0,60,62.366338
-1.0,100,63.683786
-1.0,100,64.07829
-1.0,100,65.438933
-1.0,100,66.872813
1.0,41,67.031336
-1.0,100,68.419264
-1.0,100,69.846076
1.0,52,70.090824
1.0,50,71.254626
-1.0,100,72.721108
-1.0,100,73.148145
-1.0,100,74.486054
1.0,98,75.900979
-1.0,100,77.410741
-1.0,100,77.81929
-1.0,100,79.245973
-1.0,100,80.642966
-1.0,100,81.977876
-1.0,100,83.338618
-1.0,100,83.743974
1.0,45,84.884395
-1.0,100,85.292684
-1.0,100,86.740315
-1.0,100,88.267368
-1.0,100,89.658067
-1.0,100,91.000431
1.0,41,91.145654
1.0,63,91.413923
1.0,34,92.632403
-1.0,100,93.041961
-1.0,100,94.419525
1.0,59,95.597318
-1.0,100,96.021016
-1.0,100,97.393811
1.0,63,98.577688
1.0,96,98.956744
-1.0,100,100.240706
-1.0,100,101.745629
-1.0,100,103.230851
-1.0,100,104.592879
-1.0,100,104.996011
1.0,72,106.287891
-1.0,100,107.659623
1.0,23,107.742925
1.0,13,107.79357
-1.0,100,109.133593
-1.0,100,110.417572
-1.0,100,110.769727
-1.0,100,112.05627
-1.0,100,113.315742
1.0,78,114.65881
1.0,72,114.954814
1.0,57,116.193295
1.0,44,116.383249
1.0,50,116.594953
-1.0,100,118.649659
-1.0,100,120.154373
-1.0,100,121.4333
1.0,26,121.52908
1.0,16,121.583511
1.0,22,121.670831
-1.0,100,123.203372
-1.0,100,124.528887
-1.0,100,124.91298
-1.0,100,126.2572
1.0,100,127.56044
-1.0,100,128.893783
1.0,14,128.945549
-1.0,100,130.312807
1.0,58,130.518011
1.0,12,130.564221
-1.0,100,131.870246
1.0,58,132.086359
-1.0,100,133.551188
-1.0,100,134.933551
-1.0,100,136.278923
-1.0,100,137.735452
-1.0,100,138.1563
-1.0,100,139.563067
-1.0,100,141.082362
-1.0,100,142.511693
-1.0,100,142.908913
-1.0,100,144.311012
-1.0,100,145.720104
1.0,56,145.952199
1.0,90,147.339109
1.0,73,148.715456
-1.0,100,150.181164
-1.0,100,150.649255
-1.0,100,152.031109
-1.0,100,153.488979
-1.0,100,154.900923
1.0,27,155.011561
1.0,47,155.208081
1.0,51,156.553513
-1.0,100,156.977895
-1.0,100,158.34208
-1.0,100,159.742935
-1.0,100,161.167787
-1.0,100,162.635882
-1.0,100,163.07433
-1.0,100,164.685941
1.0,41,164.846912
1.0,89,166.272267
-1.0,100,167.637713
1.0,79,168.937465
-1.0,100,169.353506
-1.0,100,170.761839
1.0,42,170.941494
1.0,27,172.06815
1.0,48,172.25929
1.0,22,172.355508
1.0,15,172.417693
-1.0,100,173.810522
-1.0,100,175.147008
-1.0,100,176.630531
-1.0,100,177.06356
-1.0,100,178.504496
-1.0,100,179.997123
1.0,88,181.359497
-1.0,100,181.776276
-1.0,100,183.133854
-1.0,100,184.583317
1.0,10,184.62734
-1.0,100,185.978656
-1.0,100,187.366895
-1.0,100,187.765848
-1.0,100,189.144987
-1.0,100,190.434222
-1.0,100,191.820856
-1.0,100,193.169859
1.0,86,193.492893
-1.0,100,194.953432
1.0,16,195.024954
-1.0,100,196.357759
1.0,76,197.588519
-1.0,100,198.012584
1.0,99,199.373686
-1.0,100,200.757859
1.0,59,200.989257
-1.0,100,202.429925
-1.0,100,203.79246
-1.0,100,205.140326
-1.0,100,205.518541
1.0,12,206.510369
-1.0,100,206.908906
-1.0,100,208.23944
1.0,58,209.402137
-1.0,100,209.798789
1.0,8,209.848071
-1.0,100,211.284765
1.0,74,212.46051
1.0,72,212.741585
-1.0,100,214.124736
-1.0,100,215.456207
1.0,13,215.507035
-1.0,100,216.87812
-1.0,100,218.247311
-1.0,100,218.671422
-1.0,100,220.015329
1.0,18,220.086056
-1.0,100,221.494399
1.0,22,221.575746
-1.0,100,222.969631
1.0,54,223.188777
1.0,15,224.194169
1.0,82,224.537983
1.0,37,224.685795
1.0,12,225.703137
-1.0,100,226.094343
1.0,40,227.166192
1.0,66,227.398721
1.0,23,227.487703
1.0,64,228.816508
1.0,57,229.035885
1.0,5,229.055124
-1.0,100,230.47296
1.0,22,230.5742
-1.0,100,231.979352
-1.0,100,233.345553
-1.0,100,234.693836
-1.0,100,235.113709
-1.0,100,236.495183
-1.0,100,237.814414
-1.0,100,239.238272
-1.0,100,240.718943
1.0,64,240.949278
1.0,28,241.056086
-1.0,100,242.492156
-1.0,100,243.857814
-1.0,100,245.295876
-1.0,100,245.665445
1.0,16,245.736516
1.0,73,247.041687
-1.0,100,248.417243
-1.0,100,249.758386
-1.0,100,250.154103
-1.0,100,251.655468
1.0,8,251.689116
-1.0,100,253.062465
1.0,39,253.219606
-1.0,100,254.621891
1.0,52,255.872745
-1.0,100,256.265548
-1.0,100,257.636093
-1.0,100,259.09784
-1.0,100,260.44185
-1.0,100,260.874824
1.0,84,262.327134
1.0,17,262.398332
-1.0,100,263.852878
-1.0,100,265.211236
-1.0,100,266.642014
-1.0,100,267.054473
1.0,72,268.264476
1.0,56,268.495562
1.0,36,269.645356
-1.0,100,270.047992
-1.0,100,271.55284
1.0,35,271.682624
-1.0,100,273.024273
-1.0,100,274.53681
-1.0,100,275.960169
-1.0,100,277.329049
-1.0,100,277.729659
1.0,11,277.774937
-1.0,100,279.192946
1.0,20,279.272535
1.0,10,279.315073
1.0,42,280.509127
1.0,95,281.785018
1.0,34,281.91805
1.0,33,282.05048
-1.0,100,283.438939
-1.0,100,284.82886
1.0,52,285.049249
1.0,18,285.12161
1.0,11,285.163373
1.0,66,286.462387
-1.0,100,287.837925
-1.0,100,288.221155
1.0,80,289.48379
-1.0,100,290.855244
-1.0,100,292.226869
-1.0,100,292.611499
1.0,47,293.795254
1.0,11,293.841151
-1.0,100,295.257042
-1.0,100,295.632117
-1.0,100,296.964696
-1.0,100,298.374861
-1.0,100,299.866702
1.0,48,300.059966
1.0,8,300.091148
1.0,10,300.13176
-1.0,100,301.461077
-1.0,100,302.865321
-1.0,100,304.216073
-1.0,100,304.606254
-1.0,100,305.887982
1.0,35,306.032961
1.0,79,307.373843
-1.0,100,308.772482
-1.0,100,310.095367
1.0,84,310.421105
-1.0,100,311.793426
1.0,20,311.870086
-1.0,100,313.314962
1.0,17,313.413034
-1.0,100,314.846721
-1.0,100,316.424909
-1.0,100,316.84283
-1.0,100,318.187842
1.0,10,318.226563
-1.0,100,319.712619
1.0,48,319.900004
-1.0,100,321.240969
-1.0,100,322.560931
-1.0,100,323.928571
-1.0,100,325.2186
-1.0,100,325.614772
-1.0,100,327.033157
-1.0,100,328.350315
-1.0,100,329.697164
-1.0,100,330.08594
-1.0,100,331.539829
1.0,5,331.559947
-1.0,100,332.938259
-1.0,100,334.252962
-1.0,100,335.580257
-1.0,100,335.982056
-1.0,100,337.502601
-1.0,100,338.971299
-1.0,100,340.254268
-1.0,100,341.689123
1.0,29,341.80529
-1.0,100,343.235456
1.0,94,343.620965
1.0,61,344.800875
1.0,33,344.940167
1.0,13,344.992954
1.0,38,345.13987
-1.0,100,346.529877
1.0,94,347.963282
-1.0,100,349.306252
-1.0,100,349.709846
1.0,32,350.881751
-1.0,100,351.277302
-1.0,100,352.685206
-1.0,100,354.085974
-1.0,100,355.588456
-1.0,100,356.99158
-1.0,100,357.401973
1.0,13,357.470366
-1.0,100,358.821405
1.0,18,358.889882
-1.0,100,360.301923
-1.0,100,361.706132
1.0,20,361.786935
-1.0,100,363.122761
-1.0,100,364.501844
1.0,32,364.625948
-1.0,100,365.933149
-1.0,100,367.342183
-1.0,100,367.744845
1.0,21,367.83021
-1.0,100,369.296623
-1.0,100,370.584786
1.0,53,370.801191
1.0,15,371.921573
-1.0,100,372.337843
-1.0,100,373.659193
1.0,44,373.837734
1.0,58,375.016026
-1.0,100,376.383462
1.0,20,376.471889
-1.0,100,377.83845
1.0,65,378.090453
1.0,39,378.254091
-1.0,100,379.663705
-1.0,100,380.988285
1.0,20,381.066518
-1.0,100,382.405423
1.0,12,382.45625
-1.0,100,383.758848
-1.0,100,385.148869
-1.0,100,385.563711
-1.0,100,386.930643
-1.0,100,388.363543
-1.0,100,389.92581
1.0,81,390.262866
-1.0,100,391.795147
1.0,69,393.038693
-1.0,100,393.401156
-1.0,100,394.766296
-1.0,100,396.098356
-1.0,100,397.613643
1.0,36,397.763155
1.0,46,397.993332
-1.0,100,399.337626
-1.0,100,400.684484
-1.0,100,402.106502
-1.0,100,403.455545
-1.0,100,403.84705
-1.0,100,405.236958
-1.0,100,406.699946
-1.0,100,408.082998
1.0,27,408.189856
-1.0,100,409.555288
-1.0,100,409.967479
-1.0,100,411.3473
-1.0,100,412.762204
-1.0,100,414.174408
1.0,61,414.45941
-1.0,100,415.886065
-1.0,100,417.229703
-1.0,100,418.69598
-1.0,100,419.104363
1.0,41,420.231203
-1.0,100,421.582207
-1.0,100,421.996328
-1.0,100,423.383557
