#{"t_start": 1550435069.3031995, "env_id": null}
r,l,t
-1.0,100,6.980061
-1.0,100,9.420604
1.0,39,9.581682
-1.0,100,10.893745
-1.0,100,12.376129
-1.0,100,13.775213
-1.0,100,14.185142
-1.0,100,15.60412
-1.0,100,16.893822
-1.0,100,18.28702
-1.0,100,19.674252
-1.0,100,20.081329
1.0,69,21.390851
1.0,41,21.567007
-1.0,100,22.924725
1.0,40,23.071764
-1.0,100,24.420907
-1.0,100,25.765754
1.0,40,25.912771
-1.0,100,27.35008
-1.0,100,28.774493
-1.0,100,30.169189
-1.0,100,30.544154
-1.0,100,31.988335
1.0,32,32.123626
-1.0,100,33.50401
-1.0,100,34.847669
1.0,96,36.225932
1.0,75,36.555842
-1.0,100,37.992783
-1.0,100,39.366727
-1.0,100,40.739711
-1.0,100,41.16196
-1.0,100,42.597797
1.0,73,43.80226
-1.0,100,45.195207
1.0,69,45.469947
-1.0,100,46.830651
-1.0,100,48.227813
1.0,66,48.490165
-1.0,100,49.961761
-1.0,100,51.327044
-1.0,100,51.68262
-1.0,100,53.047114
1.0,45,54.225999
-1.0,100,54.651064
-1.0,100,56.009743
-1.0,100,57.517475
-1.0,100,58.858392
1.0,7,58.891281
-1.0,100,60.381743
-1.0,100,60.776256
-1.0,100,62.097819
-1.0,100,63.435939
-1.0,100,64.776835
-1.0,100,65.137285
-1.0,100,66.662496
-1.0,100,68.053622
-1.0,100,69.483142
-1.0,100,70.859154
-1.0,100,71.278006
1.0,36,72.574835
1.0,99,72.960976
-1.0,100,74.419926
-1.0,100,75.729805
-1.0,100,77.047928
-1.0,100,78.421288
1.0,52,78.632909
1.0,46,78.791804
1.0,9,78.822413
-1.0,100,80.232633
1.0,33,80.360406
1.0,16,81.447579
1.0,34,81.592603
-1.0,100,83.041583
-1.0,100,83.455111
-1.0,100,84.929786
-1.0,100,86.326322
-1.0,100,87.82353
-1.0,100,89.300725
1.0,33,89.438617
1.0,70,89.73117
1.0,50,90.940346
-1.0,100,92.273161
1.0,72,92.561321
-1.0,100,93.928162
-1.0,100,95.285569
1.0,11,95.33342
-1.0,100,96.809632
-1.0,100,97.227692
-1.0,100,98.621194
1.0,39,98.781495
-1.0,100,100.218076
-1.0,100,101.646131
1.0,32,101.776191
-1.0,100,103.118622
-1.0,100,104.569342
1.0,100,105.934526
1.0,73,106.197695
1.0,66,107.604211
-1.0,100,108.019188
1.0,49,109.162823
-1.0,100,110.625124
1.0,93,111.007186
-1.0,100,112.479872
-1.0,100,113.781509
-1.0,100,115.199092
1.0,21,115.283146
-1.0,100,116.699118
1.0,47,116.889254
-1.0,100,118.291374
-1.0,100,119.736675
-1.0,100,120.121529
-1.0,100,121.478997
-1.0,100,123.002393
-1.0,100,124.401554
1.0,95,124.756313
-1.0,100,126.154267
1.0,19,126.22726
-1.0,100,127.576704
1.0,36,127.716888
-1.0,100,129.103078
-1.0,100,130.508851
-1.0,100,131.872442
-1.0,100,132.268787
-1.0,100,133.730911
-1.0,100,135.305093
1.0,48,135.486475
-1.0,100,136.81267
1.0,75,138.05409
1.0,94,139.310709
-1.0,100,139.69728
