#{"t_start": 1550432520.9493241, "env_id": null}
r,l,t
-1.0,100,6.642412
-1.0,100,8.885996
-1.0,100,10.247507
-1.0,100,11.685841
-1.0,100,12.098108
1.0,89,13.392705
-1.0,100,14.742838
1.0,23,14.841146
1.0,99,16.236391
-1.0,100,17.6566
-1.0,100,18.044015
-1.0,100,19.55935
-1.0,100,20.952083
1.0,50,21.161873
-1.0,100,22.486022
-1.0,100,23.862647
-1.0,100,25.270848
-1.0,100,25.680982
-1.0,100,27.118459
-1.0,100,28.616248
1.0,58,28.856028
-1.0,100,30.204072
-1.0,100,31.639905
-1.0,100,33.041293
-1.0,100,34.408967
-1.0,100,34.819357
-1.0,100,36.238546
1.0,32,36.362978
-1.0,100,37.745987
-1.0,100,39.219286
-1.0,100,40.639543
-1.0,100,41.99131
-1.0,100,42.407611
-1.0,100,43.83813
-1.0,100,45.223916
-1.0,100,46.612054
-1.0,100,47.007369
-1.0,100,48.641501
1.0,7,48.675596
-1.0,100,50.136291
-1.0,100,51.618595
-1.0,100,53.024035
-1.0,100,53.443739
-1.0,100,54.865405
-1.0,100,56.254839
-1.0,100,57.643106
-1.0,100,59.056992
-1.0,100,59.562272
1.0,73,60.978326
1.0,12,61.027515
-1.0,100,62.511774
-1.0,100,63.881526
1.0,53,64.092059
-1.0,100,65.622212
-1.0,100,67.050344
-1.0,100,67.445049
-1.0,100,68.805616
-1.0,100,70.245659
-1.0,100,71.56694
1.0,3,71.581278
-1.0,100,71.993415
1.0,49,73.129018
-1.0,100,74.512228
-1.0,100,74.933409
-1.0,100,76.314238
-1.0,100,77.693548
-1.0,100,79.169432
1.0,8,79.197265
-1.0,100,80.648123
1.0,6,80.678754
-1.0,100,81.093919
-1.0,100,82.657464
-1.0,100,84.016101
-1.0,100,85.557221
1.0,43,85.75061
1.0,93,87.257347
1.0,55,87.467248
-1.0,100,88.903495
-1.0,100,90.262534
-1.0,100,91.620177
-1.0,100,92.059547
-1.0,100,93.41523
-1.0,100,94.754527
1.0,56,94.999881
-1.0,100,96.403241
-1.0,100,97.790531
-1.0,100,99.176734
-1.0,100,100.518317
-1.0,100,100.956822
1.0,39,102.105328
-1.0,100,102.531848
1.0,71,103.836412
-1.0,100,105.272289
-1.0,100,105.704475
-1.0,100,107.077652
-1.0,100,108.587831
-1.0,100,110.025794
-1.0,100,111.41251
-1.0,100,111.823852
-1.0,100,113.210855
-1.0,100,114.589567
-1.0,100,115.993494
-1.0,100,117.348873
1.0,44,117.521763
-1.0,100,118.907644
-1.0,100,119.324722
-1.0,100,120.664817
-1.0,100,121.952098
-1.0,100,123.279703
-1.0,100,124.731781
1.0,59,124.992169
-1.0,100,126.340279
-1.0,100,127.816834
1.0,5,127.841277
-1.0,100,128.26501
1.0,72,129.466573
-1.0,100,130.798984
-1.0,100,132.230927
-1.0,100,132.623845
-1.0,100,134.066008
1.0,24,134.157135
-1.0,100,135.609891
-1.0,100,137.025401
-1.0,100,138.452283
-1.0,100,138.855371
-1.0,100,140.231754
-1.0,100,141.574028
-1.0,100,142.949503
-1.0,100,144.426244
-1.0,100,144.846394
-1.0,100,146.275143
-1.0,100,147.66028
1.0,35,147.817155
-1.0,100,149.248035
-1.0,100,150.563456
1.0,16,150.628448
-1.0,100,152.052334
-1.0,100,152.466823
-1.0,100,153.887631
-1.0,100,155.309855
-1.0,100,156.654637
-1.0,100,158.110592
-1.0,100,158.499726
-1.0,100,159.86577
-1.0,100,161.419682
1.0,46,161.594634
-1.0,100,163.093169
-1.0,100,164.517878
1.0,46,164.705179
-1.0,100,166.080899
1.0,20,166.152943
1.0,61,167.371145
-1.0,100,167.775509
-1.0,100,169.186944
-1.0,100,170.558371
-1.0,100,171.920566
1.0,50,172.16542
-1.0,100,173.926699
-1.0,100,175.446217
-1.0,100,175.864944
1.0,11,175.911417
-1.0,100,177.326724
-1.0,100,178.739795
-1.0,100,180.077858
-1.0,100,181.379847
-1.0,100,181.810128
-1.0,100,183.324963
-1.0,100,184.726714
-1.0,100,186.095097
-1.0,100,187.387018
1.0,28,187.50454
-1.0,100,188.885367
1.0,71,189.186224
-1.0,100,190.60247
1.0,50,190.804183
-1.0,100,192.257712
-1.0,100,193.767931
-1.0,100,195.308348
1.0,48,195.490505
-1.0,100,196.889769
-1.0,100,198.326491
-1.0,100,198.729025
-1.0,100,200.157232
1.0,6,200.180686
-1.0,100,201.654297
1.0,18,201.732893
-1.0,100,203.186055
-1.0,100,204.578998
-1.0,100,205.012117
1.0,63,206.198863
1.0,98,207.55736
1.0,23,207.660044
-1.0,100,209.151237
-1.0,100,209.575801
1.0,60,210.78319
-1.0,100,212.188359
-1.0,100,212.577394
1.0,76,213.938949
1.0,68,215.156692
1.0,37,215.314565
1.0,55,215.543178
-1.0,100,216.950423
-1.0,100,218.356477
1.0,90,219.636321
1.0,24,219.726811
1.0,57,219.975539
1.0,31,220.106
-1.0,100,221.459691
-1.0,100,222.851419
-1.0,100,224.21652
-1.0,100,225.598518
-1.0,100,226.005172
1.0,75,227.319214
