#{"env_id": null, "t_start": 1550432578.84244}
r,l,t
1.0,20,7.025333
1.0,8,7.06364
-1.0,100,7.445137
-1.0,100,9.967208
1.0,10,10.015101
-1.0,100,11.398723
1.0,31,11.53767
-1.0,100,12.938735
-1.0,100,14.370478
-1.0,100,15.856769
1.0,23,15.941278
-1.0,100,17.357384
-1.0,100,17.756312
-1.0,100,19.083829
-1.0,100,20.524012
1.0,26,20.617718
1.0,37,21.840702
1.0,41,22.004637
1.0,33,22.130911
-1.0,100,23.444386
-1.0,100,24.854873
-1.0,100,25.268295
-1.0,100,26.728595
1.0,48,27.877274
-1.0,100,28.297261
1.0,31,29.426515
-1.0,100,29.827027
-1.0,100,31.205708
1.0,97,32.585564
1.0,53,32.803204
1.0,53,34.028976
1.0,14,34.085676
-1.0,100,35.497309
-1.0,100,35.9101
-1.0,100,37.434474
-1.0,100,38.793948
-1.0,100,40.19003
-1.0,100,41.559015
-1.0,100,41.93345
-1.0,100,43.365286
-1.0,100,44.865255
-1.0,100,46.200199
-1.0,100,46.605241
-1.0,100,48.019062
-1.0,100,49.620625
-1.0,100,51.03399
-1.0,100,52.667425
-1.0,100,53.096425
1.0,26,54.196521
-1.0,100,54.584363
-1.0,100,56.005613
-1.0,100,57.389634
1.0,45,57.564827
-1.0,100,59.01144
1.0,85,60.362617
1.0,69,60.623269
-1.0,100,62.059902
1.0,23,62.148157
-1.0,100,63.511392
1.0,78,64.776459
1.0,6,64.801381
-1.0,100,65.196633
-1.0,100,66.685866
1.0,24,66.788378
-1.0,100,68.195575
-1.0,100,69.647403
-1.0,100,71.168858
-1.0,100,72.485088
1.0,51,72.684128
1.0,76,73.95498
1.0,31,74.10368
-1.0,100,75.433504
-1.0,100,75.806251
-1.0,100,77.205826
-1.0,100,78.55776
-1.0,100,79.893906
-1.0,100,80.276185
-1.0,100,81.664417
-1.0,100,83.174659
1.0,9,83.214134
-1.0,100,84.656351
-1.0,100,86.04777
-1.0,100,86.42156
1.0,19,87.435453
1.0,11,87.48191
-1.0,100,87.892336
-1.0,100,89.332771
1.0,97,90.753177
-1.0,100,92.197343
-1.0,100,93.567055
-1.0,100,93.949733
1.0,40,95.097707
-1.0,100,95.473175
1.0,62,96.794188
-1.0,100,98.190461
1.0,12,98.233193
-1.0,100,99.576085
-1.0,100,99.978122
1.0,11,100.023077
-1.0,100,101.427918
1.0,63,102.750906
1.0,68,103.025782
-1.0,100,104.62697
-1.0,100,106.064697
-1.0,100,107.4239
-1.0,100,107.831636
1.0,45,109.078163
1.0,10,109.117064
-1.0,100,110.484298
-1.0,100,110.888525
-1.0,100,112.215758
-1.0,100,113.682722
1.0,91,115.436235
1.0,20,115.549867
1.0,80,115.977706
-1.0,100,117.400262
-1.0,100,118.77455
-1.0,100,120.087063
-1.0,100,121.482749
1.0,73,121.787916
-1.0,100,123.122077
1.0,37,123.276211
-1.0,100,124.697018
-1.0,100,126.089415
-1.0,100,127.591912
-1.0,100,127.994235
1.0,39,129.269955
-1.0,100,129.700899
-1.0,100,131.199803
1.0,18,131.274487
-1.0,100,132.712118
-1.0,100,134.164161
1.0,55,134.393447
-1.0,100,135.838208
-1.0,100,137.282512
-1.0,100,138.651986
-1.0,100,139.072072
-1.0,100,140.474907
1.0,69,141.788102
1.0,14,141.845021
1.0,67,142.136843
-1.0,100,143.595441
1.0,22,143.681928
-1.0,100,145.095808
-1.0,100,146.464938
1.0,34,146.598011
-1.0,100,148.046361
1.0,23,148.147271
-1.0,100,149.602534
-1.0,100,150.996266
1.0,20,151.074535
1.0,86,152.580937
1.0,45,152.757793
-1.0,100,154.200814
1.0,75,154.498622
-1.0,100,155.849771
-1.0,100,157.177183
-1.0,100,158.623299
-1.0,100,159.048369
1.0,17,159.128278
1.0,41,160.264799
-1.0,100,161.600362
-1.0,100,162.03481
-1.0,100,163.624897
1.0,10,163.664189
-1.0,100,165.127241
1.0,50,165.337103
-1.0,100,166.729606
1.0,55,167.898424
-1.0,100,168.297215
1.0,51,169.467047
1.0,45,169.64971
1.0,52,171.007133
-1.0,100,171.409838
-1.0,100,172.868663
-1.0,100,174.212413
-1.0,100,175.669863
-1.0,100,176.061255
-1.0,100,177.402565
-1.0,100,178.770845
-1.0,100,180.151768
1.0,43,180.333335
-1.0,100,181.726553
-1.0,100,183.110409
-1.0,100,183.511104
-1.0,100,185.002683
-1.0,100,186.438138
1.0,48,186.632949
-1.0,100,188.063658
1.0,22,188.153339
-1.0,100,189.688049
1.0,50,190.840119
-1.0,100,191.248914
-1.0,100,192.627919
1.0,80,193.999332
-1.0,100,195.41367
1.0,100,195.802835
-1.0,100,197.149345
-1.0,100,198.463119
1.0,15,198.527043
1.0,22,198.619467
-1.0,100,199.94311
-1.0,100,201.423676
-1.0,100,201.831243
1.0,16,202.860609
-1.0,100,203.303015
-1.0,100,204.77806
-1.0,100,206.196728
-1.0,100,207.626622
-1.0,100,209.056953
-1.0,100,209.452997
-1.0,100,210.871001
-1.0,100,212.250853
-1.0,100,213.684562
-1.0,100,214.084145
1.0,21,215.179885
-1.0,100,215.576051
1.0,15,215.636405
-1.0,100,217.048365
1.0,66,218.348776
1.0,90,218.709094
-1.0,100,220.057125
-1.0,100,221.390879
1.0,100,222.747949
-1.0,100,224.205565
-1.0,100,224.605913
-1.0,100,226.029899
1.0,88,227.452671
