#{"env_id": null, "t_start": 1550430316.3667867}
r,l,t
-1.0,100,4.922664
1.0,15,4.974355
-1.0,100,6.975871
-1.0,100,8.364898
-1.0,100,9.894655
-1.0,100,11.150513
1.0,11,11.189348
1.0,94,11.520025
-1.0,100,12.722931
-1.0,100,14.046839
-1.0,100,15.302313
-1.0,100,15.720469
1.0,12,16.670263
1.0,6,16.69835
1.0,22,16.773295
-1.0,100,18.112911
-1.0,100,18.468907
-1.0,100,19.667673
-1.0,100,20.934403
-1.0,100,22.24151
-1.0,100,22.575981
-1.0,100,23.892355
1.0,75,25.012344
1.0,25,25.096899
-1.0,100,26.445175
-1.0,100,27.746112
1.0,37,27.893571
-1.0,100,29.168456
-1.0,100,29.516728
-1.0,100,30.718393
-1.0,100,31.968041
-1.0,100,33.198524
1.0,50,33.381599
1.0,8,33.41306
1.0,18,33.499266
1.0,97,34.959803
1.0,81,36.228704
-1.0,100,37.519381
1.0,9,37.553907
-1.0,100,37.912534
-1.0,100,39.243775
1.0,31,39.368961
-1.0,100,40.640908
1.0,95,41.865278
-1.0,100,43.077766
-1.0,100,44.31193
1.0,93,44.648396
-1.0,100,46.047612
-1.0,100,47.300324
-1.0,100,48.564449
-1.0,100,48.964859
1.0,19,49.929843
-1.0,100,50.275976
-1.0,100,51.526479
1.0,93,52.736424
-1.0,100,54.067384
-1.0,100,54.417479
-1.0,100,55.644799
1.0,87,56.877869
-1.0,100,58.130091
-1.0,100,58.486992
1.0,69,59.585045
-1.0,100,60.784057
-1.0,100,61.11551
-1.0,100,62.324845
-1.0,100,63.665841
-1.0,100,65.015532
1.0,25,65.093725
1.0,19,65.171853
1.0,21,65.23858
-1.0,100,66.441522
-1.0,100,67.666656
-1.0,100,68.942366
-1.0,100,69.272117
-1.0,100,70.478433
-1.0,100,71.700219
-1.0,100,72.973197
-1.0,100,74.200884
1.0,19,74.259771
1.0,78,74.536897
-1.0,100,75.740281
-1.0,100,76.970904
-1.0,100,78.194185
-1.0,100,78.586003
-1.0,100,79.845513
-1.0,100,81.139721
-1.0,100,82.411851
1.0,24,82.496757
-1.0,100,83.765201
1.0,34,83.884228
-1.0,100,85.210676
-1.0,100,86.471984
-1.0,100,86.850772
-1.0,100,88.056985
1.0,18,88.115296
1.0,18,88.179123
-1.0,100,89.475486
1.0,55,90.579184
1.0,51,90.767115
-1.0,100,92.054889
-1.0,100,93.383116
1.0,50,93.577451
-1.0,100,94.832681
1.0,38,94.963228
1.0,69,96.146082
1.0,21,96.226558
-1.0,100,97.583798
-1.0,100,97.941442
-1.0,100,99.288053
1.0,20,99.366468
1.0,54,100.438343
1.0,88,100.767736
1.0,55,101.806108
-1.0,100,103.169552
1.0,82,103.481059
1.0,28,103.581863
1.0,15,104.551838
-1.0,100,104.919031
1.0,69,106.10887
-1.0,100,107.473716
1.0,38,107.623451
1.0,48,107.780057
1.0,91,109.044312
1.0,90,110.329407
1.0,25,110.416606
1.0,61,110.614903
1.0,35,111.678188
1.0,66,111.89257
1.0,76,113.106372
1.0,46,113.311575
1.0,31,113.451905
-1.0,100,114.859756
-1.0,100,116.076232
1.0,75,117.191811
-1.0,100,117.519258
-1.0,100,118.864959
1.0,39,119.075079
1.0,69,120.365185
1.0,79,121.536046
1.0,45,121.682034
1.0,39,121.822422
1.0,78,123.011732
-1.0,100,124.303677
1.0,37,124.436042
-1.0,100,125.649544
1.0,98,126.003932
1.0,89,127.303244
1.0,69,128.428034
-1.0,100,129.704378
-1.0,100,130.088196
-1.0,100,131.356376
-1.0,100,132.59728
-1.0,100,133.827338
-1.0,100,134.171392
1.0,8,134.194388
-1.0,100,135.416565
1.0,36,136.458867
1.0,14,136.510495
1.0,68,136.755964
-1.0,100,138.054053
1.0,98,139.303099
1.0,67,139.556376
-1.0,100,140.816114
-1.0,100,142.103633
-1.0,100,143.397183
1.0,48,143.580153
-1.0,100,144.852003
-1.0,100,146.092799
1.0,11,146.12521
-1.0,100,146.484101
1.0,97,147.707527
-1.0,100,149.031535
1.0,29,149.129432
1.0,49,150.166863
1.0,39,150.296638
-1.0,100,151.551485
-1.0,100,151.927771
1.0,25,152.913394
-1.0,100,153.261891
1.0,30,154.252604
1.0,83,154.533284
1.0,36,155.571846
1.0,18,155.633298
1.0,19,155.699039
-1.0,100,156.948491
-1.0,100,157.2997
-1.0,100,158.596615
-1.0,100,159.794776
1.0,30,159.902113
-1.0,100,161.146809
-1.0,100,162.410791
1.0,68,162.670636
-1.0,100,163.902457
-1.0,100,165.177448
1.0,12,165.223536
-1.0,100,166.424744
-1.0,100,167.667742
-1.0,100,168.054559
-1.0,100,169.305245
1.0,31,169.424042
1.0,54,170.458789
1.0,70,170.710338
-1.0,100,171.934947
1.0,97,173.218682
-1.0,100,174.508484
-1.0,100,174.861577
1.0,35,175.868698
-1.0,100,176.219314
1.0,94,177.477728
-1.0,100,178.723795
-1.0,100,179.936749
1.0,86,180.227294
1.0,27,181.184765
-1.0,100,181.541159
-1.0,100,182.795265
1.0,30,182.921186
1.0,39,183.929569
-1.0,100,185.239808
-1.0,100,185.613924
-1.0,100,186.842313
-1.0,100,188.102015
1.0,61,188.371653
1.0,27,189.50159
1.0,82,189.772825
1.0,87,190.968408
1.0,4,190.982216
1.0,42,191.119932
-1.0,100,192.381255
1.0,14,192.432923
1.0,37,192.558126
1.0,28,193.583174
-1.0,100,193.984405
1.0,41,195.095601
-1.0,100,196.359884
-1.0,100,196.709616
1.0,20,196.780076
-1.0,100,198.118496
1.0,40,199.193457
-1.0,100,199.548558
1.0,17,199.622278
1.0,42,200.64988
1.0,89,200.941501
-1.0,100,202.145046
1.0,6,202.163891
1.0,8,202.192786
1.0,23,203.246926
