#{"t_start": 1550430434.4671094, "env_id": null}
r,l,t
1.0,26,4.503349
-1.0,100,4.830543
1.0,8,6.546423
-1.0,100,6.921564
-1.0,100,8.1551
-1.0,100,9.455249
-1.0,100,10.86745
-1.0,100,11.215743
-1.0,100,12.416731
-1.0,100,13.649739
-1.0,100,14.922182
-1.0,100,16.199605
1.0,33,16.329333
1.0,14,16.375343
-1.0,100,17.592933
-1.0,100,18.935589
1.0,7,18.958447
-1.0,100,19.287666
1.0,7,19.323716
-1.0,100,20.619072
-1.0,100,21.89679
1.0,28,21.994488
-1.0,100,23.360208
-1.0,100,24.731794
-1.0,100,25.923466
1.0,73,26.168022
-1.0,100,27.46308
-1.0,100,28.856265
-1.0,100,29.249475
-1.0,100,30.458534
-1.0,100,31.743515
1.0,55,31.933096
-1.0,100,33.273802
1.0,16,33.327374
-1.0,100,34.554908
-1.0,100,35.82653
1.0,11,35.865614
-1.0,100,37.203383
-1.0,100,38.569242
-1.0,100,38.920047
-1.0,100,40.189775
-1.0,100,41.462235
1.0,9,41.49333
-1.0,100,42.739269
-1.0,100,44.056163
-1.0,100,44.419892
-1.0,100,45.782699
1.0,98,47.048216
-1.0,100,48.389259
1.0,50,48.592447
-1.0,100,49.93978
-1.0,100,51.294625
-1.0,100,51.616937
-1.0,100,52.927582
-1.0,100,54.193571
-1.0,100,55.475573
1.0,98,55.81319
-1.0,100,57.113387
-1.0,100,58.360974
-1.0,100,59.672854
1.0,40,59.812362
-1.0,100,61.052851
-1.0,100,62.505101
-1.0,100,62.877482
-1.0,100,64.169359
-1.0,100,65.44095
-1.0,100,66.702903
1.0,12,66.750054
-1.0,100,68.087386
-1.0,100,68.452036
-1.0,100,69.760728
1.0,85,71.062774
-1.0,100,72.371377
1.0,92,72.719213
-1.0,100,74.166813
1.0,8,74.198099
-1.0,100,75.434561
-1.0,100,76.768492
-1.0,100,77.961953
-1.0,100,78.330909
1.0,71,79.448153
-1.0,100,80.776949
1.0,67,81.040627
1.0,100,82.275536
-1.0,100,83.602099
-1.0,100,84.883452
1.0,43,85.030588
1.0,6,85.053336
-1.0,100,86.320962
-1.0,100,87.571986
-1.0,100,87.936136
-1.0,100,89.186188
1.0,50,89.382875
-1.0,100,90.714711
-1.0,100,91.994456
-1.0,100,93.254151
-1.0,100,94.560034
-1.0,100,94.923677
1.0,19,95.885046
-1.0,100,96.251661
-1.0,100,97.640896
-1.0,100,98.883597
-1.0,100,100.093238
1.0,59,100.299972
-1.0,100,101.58738
1.0,73,101.85661
-1.0,100,103.077553
-1.0,100,104.396584
-1.0,100,105.685469
-1.0,100,106.923342
-1.0,100,107.316812
-1.0,100,108.550836
-1.0,100,109.839557
1.0,64,110.082416
1.0,63,111.233593
-1.0,100,112.485632
1.0,46,112.630237
1.0,17,112.691492
1.0,7,112.714557
-1.0,100,113.96616
1.0,26,114.068654
-1.0,100,115.436408
-1.0,100,116.715888
-1.0,100,117.954883
-1.0,100,118.336803
-1.0,100,119.552077
-1.0,100,120.763417
-1.0,100,122.098756
-1.0,100,123.394383
-1.0,100,123.753553
